Title,pos,neg,k=2,k=3,k=4,k=5
Ghosts of Mars,0.065,0.15,1,0,1,4
White Of The Eye,0.078,0.198,1,0,2,1
A Woman in Flames,0.1,0.065,0,2,3,0
The Sorcerer's Apprentice,0.092,0.131,1,0,1,2
Little city,0.08900000000000001,0.10800000000000001,0,2,1,2
Henry V,0.065,0.032,0,2,3,0
Aaah Belinda,0.096,0.168,1,0,1,2
The Mechanical Monsters,0.091,0.075,0,2,3,0
Mary Poppins,0.109,0.08199999999999999,0,2,3,2
Die Fahne von Kriwoj Rog,0.10099999999999999,0.09,0,2,1,2
White on Rice,0.21,0.09300000000000001,0,1,0,3
Anbu Thozhi,0.151,0.064,0,1,0,3
Baby Boy,0.057999999999999996,0.17800000000000002,1,0,2,1
Bindiya Chamkegi,0.107,0.069,0,2,3,0
Vandanam,0.095,0.126,1,0,1,2
Anokha Rishta,0.187,0.055,0,1,0,3
Karayilekku Oru Kadal Dooram,0.105,0.06,0,2,3,0
Siam Sunset,0.126,0.127,0,1,1,2
Kausthubham,0.078,0.21100000000000002,1,0,2,1
Archie: To Riverdale and Back Again,0.057999999999999996,0.061,0,2,3,0
Troops,0.027999999999999997,0.121,1,2,1,4
Daddy and Them,0.069,0.226,1,0,2,1
The Gods Must Be Crazy,0.061,0.155,1,0,1,4
Rudo y Cursi,0.054000000000000006,0.08800000000000001,0,2,3,4
Kinjite: Forbidden Subjects,0.066,0.171,1,0,2,4
The Great New Wonderful,0.12300000000000001,0.06,0,1,0,2
Loverboy,0.09699999999999999,0.1,0,2,1,2
Chandra Mukhi,0.141,0.0,0,1,0,3
Juarez,0.081,0.124,1,2,1,4
Chasing Ghosts: Beyond the Arcade,0.146,0.0,0,1,0,3
It Came Upon the Midnight Clear,0.161,0.141,0,1,0,2
The Human Tornado,0.084,0.10099999999999999,0,2,1,2
Shivers,0.024,0.10099999999999999,1,2,1,4
Adventurer's Fate,0.096,0.066,0,2,3,0
Zindagi,0.063,0.017,0,2,3,0
Terrorama,0.043,0.20600000000000002,1,0,2,1
One Small Step: The Story of the Space Chimps,0.14,0.031,0,1,0,3
The Little Hut,0.13,0.098,0,1,0,2
Nariman,0.078,0.275,1,0,2,1
Aftershock: Beyond the Civil War,0.065,0.18100000000000002,1,0,2,1
Drums in the Deep South,0.106,0.124,1,2,1,2
Vixen!,0.034,0.121,1,2,1,4
Closing the Ring,0.17,0.08900000000000001,0,1,0,3
The Boston Strangler,0.0,0.09,1,2,3,4
Deadly Voyage,0.061,0.125,1,2,1,4
